,Name,Event ID,Event URL,Genre,Genre ID,Sub Genre,Image,Venue,Venue URL,Zip Code,State,City,Latitude,Longitude,Max Price,Min Price,Event Date,Event Time
0,OZZFEST 2018,vv16aZA4fekZACF81A,https://www.ticketmaster.com/ozzfest-2018-inglewood-california-12-31-2018/event/09005554086D7F94,Metal,KnvZfZ7vAvt,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_ARTIST_PAGE_3_2.jpg,OZZFEST 2018,https://www.ticketmaster.com/ozzfest-2018-inglewood-california-12-31-2018/event/09005554086D7F94,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.9583,-118.341868,179.5,49.5,12/31/2018,14:30:00
1,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,vv1Fe8vK3KuaZ75e61,https://www.ticketmaster.com/pnk-beautiful-trauma-world-tour-inglewood-california-04-19-2019/event/090053493349A169,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_TABLET_LANDSCAPE_LARGE_16_9.jpg,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,https://www.ticketmaster.com/pnk-beautiful-trauma-world-tour-inglewood-california-04-19-2019/event/090053493349A169,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.9583,-118.341868,269.95,47.45,4/19/2019,19:30:00
2,"K-LOVE Live ""Las Que Mandan""",vv1k0Z48b0G7I5FD,https://www.ticketmaster.com/klove-live-las-que-mandan-inglewood-california-11-17-2018/event/0900550624A0B23B,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_TABLET_LANDSCAPE_3_2.jpg,"K-LOVE Live ""Las Que Mandan""",https://www.ticketmaster.com/klove-live-las-que-mandan-inglewood-california-11-17-2018/event/0900550624A0B23B,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.9583,-118.341868,250,69,11/17/2018,18:00:00
3,How The West Was Won: Glen Helen Amptheater,vvG10Z45WDss2D,http://concerts.livenation.com/event/090054BF7BC713FB,Hip-Hop/Rap,KnvZfZ7vAv1,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_RETINA_LANDSCAPE_16_9.jpg,How The West Was Won: Glen Helen Amptheater,http://concerts.livenation.com/event/090054BF7BC713FB,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.20880115,-117.4097028,127,22,10/27/2018,18:00:00
4,Danzig 30 Year Anniversary - Halloween Hell Bash,vvG10Z42kyPKDw,http://concerts.livenation.com/event/090054F1B9953EF2,Metal,KnvZfZ7vAvt,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_EVENT_DETAIL_PAGE_16_9.jpg,Danzig 30 Year Anniversary - Halloween Hell Bash,http://concerts.livenation.com/event/090054F1B9953EF2,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.658166,-117.7286,66.6,19.5,11/3/2018,17:45:00
5,JOHNNYSWIM,vv1AaZA4pGkesi4K9,https://www.ticketmaster.com/johnnyswim-los-angeles-california-12-22-2018/event/09005556B1B154D7,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_RETINA_PORTRAIT_16_9.jpg,JOHNNYSWIM,https://www.ticketmaster.com/johnnyswim-los-angeles-california-12-22-2018/event/09005556B1B154D7,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.04263554,-118.2555862,87,41,12/22/2018,21:00:00
6,Camila & Sin Bandera,vvG10Z4GLjNALY,https://www.ticketmaster.com/camila-sin-bandera-anaheim-california-11-03-2018/event/090054C7DC8C57F0,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_RETINA_PORTRAIT_3_2.jpg,Camila & Sin Bandera,https://www.ticketmaster.com/camila-sin-bandera-anaheim-california-11-03-2018/event/090054C7DC8C57F0,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.80780364,-117.8765311,149,69,11/3/2018,20:00:00
7,Joker Xue,vv170Z4oGkB8GEWP,https://www.ticketmaster.com/joker-xue-hollywood-california-11-11-2018/event/0900551E90327F65,Pop,KnvZfZ7vAev,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_TABLET_LANDSCAPE_16_9.jpg,Joker Xue,https://www.ticketmaster.com/joker-xue-hollywood-california-11-11-2018/event/0900551E90327F65,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.10177237,-118.3402024,617,77,11/11/2018,20:00:00
8,The Rocky Horror Picture Show,vv1AaZAfoGkd6AQB6,https://www.ticketmaster.com/the-rocky-horror-picture-show-big-bear-lake-california-10-26-2018/event/09005511C715AE87,Music,KnvZfZ7vAkJ,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_RECOMENDATION_16_9.jpg,The Rocky Horror Picture Show,https://www.ticketmaster.com/the-rocky-horror-picture-show-big-bear-lake-california-10-26-2018/event/09005511C715AE87,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.239624,-116.912046,10,10,10/26/2018,20:00:00
9,The Rocky Horror Picture Show,vvG1iZ43JwSe2U,https://www.ticketmaster.com/the-rocky-horror-picture-show-san-gabriel-california-10-26-2018/event/0B005529B2CC23F6,Music,KnvZfZ7vAkJ,,https://s1.ticketm.net/dam/a/88b/1f3b4730-23a1-4ec8-9266-de0b3ee1c88b_876391_CUSTOM.jpg,The Rocky Horror Picture Show,https://www.ticketmaster.com/the-rocky-horror-picture-show-san-gabriel-california-10-26-2018/event/0B005529B2CC23F6,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.098319,-118.108412,16,16,10/26/2018,22:00:00
10,Rod Stewart w/ Special Guests Pat Benatar & Neil Giraldo,vvG10Z4CRSWUpG,https://www.ticketmaster.com/rod-stewart-w-special-guests-pat-ontario-california-10-28-2018/event/090054EBF3F7658C,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_RETINA_PORTRAIT_3_2.jpg,Rod Stewart w/ Special Guests Pat Benatar & Neil Giraldo,https://www.ticketmaster.com/rod-stewart-w-special-guests-pat-ontario-california-10-28-2018/event/090054EBF3F7658C,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.075329,-117.566364,398,37.5,10/28/2018,19:30:00
11,DJ Snake,Z7r9jZ1Aeozof,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2478454,Dance/Electronic,KnvZfZ7vAvF,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_CUSTOM.jpg,DJ Snake,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2478454,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.027599,-118.285004,129.5,29.5,10/31/2018,21:00:00
12,Caifanes,vv1AaZA3bGkemifi8,http://concerts.livenation.com/event/09005498AEB14B10,World,KnvZfZ7vAeF,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_RETINA_PORTRAIT_16_9.jpg,Caifanes,http://concerts.livenation.com/event/09005498AEB14B10,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.658166,-117.7286,500,39.5,10/27/2018,20:00:00
13,MAC MILLER: A CELEBRATION OF LIFE,vv170Z4KGkS-H5eu,https://www.ticketmaster.com/mac-miller-a-celebration-of-life-los-angeles-california-10-31-2018/event/0900553CE1F0B08D,Hip-Hop/Rap,KnvZfZ7vAv1,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_ARTIST_PAGE_3_2.jpg,MAC MILLER: A CELEBRATION OF LIFE,https://www.ticketmaster.com/mac-miller-a-celebration-of-life-los-angeles-california-10-31-2018/event/0900553CE1F0B08D,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.11948811,-118.2962909,32.5,27.5,10/31/2018,18:30:00
14,Banda MS,Z7r9jZ1Ae8ykp,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2439196,World,KnvZfZ7vAeF,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_RETINA_LANDSCAPE_16_9.jpg,Banda MS,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2439196,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.0397,-118.266403,85,40,10/26/2018,20:00:00
15,Graveyard and Uncle Acid - Peace Across The Wasteland,vv1ke8v448GAGGt7z,http://concerts.livenation.com/event/090055550C329138,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_TABLET_LANDSCAPE_3_2.jpg,Graveyard and Uncle Acid - Peace Across The Wasteland,http://concerts.livenation.com/event/090055550C329138,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.06141494,-118.3087921,89.5,49.5,3/15/2019,19:00:00
16,Latin American Music Awards,vv1AaZAfgGkdISrZt,https://www.ticketmaster.com/latin-american-music-awards-hollywood-california-10-25-2018/event/09005535E8CDE029,Undefined,KnvZfZ7vAe6,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_RECOMENDATION_16_9.jpg,Latin American Music Awards,https://www.ticketmaster.com/latin-american-music-awards-hollywood-california-10-25-2018/event/09005535E8CDE029,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},34.10177237,-118.3402024,165,45,10/25/2018,17:00:00
17,TWENTY ONE PILOTS - THE BANDITO TOUR,vvG10Z4C0dtMUn,https://www.ticketmaster.com/twenty-one-pilots-the-bandito-tour-inglewood-california-11-10-2018/event/090054E903A77DAA,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_TABLET_LANDSCAPE_LARGE_16_9.jpg,TWENTY ONE PILOTS - THE BANDITO TOUR,https://www.ticketmaster.com/twenty-one-pilots-the-bandito-tour-inglewood-california-11-10-2018/event/090054E903A77DAA,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.9583,-118.341868,757,42,11/10/2018,19:00:00
18,Ozuna Aura Tour 2018,vvG10Z4u03eIyJ,https://www.ticketmaster.com/ozuna-aura-tour-2018-inglewood-california-11-02-2018/event/090054D9120A8E66,World,KnvZfZ7vAeF,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_EVENT_DETAIL_PAGE_16_9.jpg,Ozuna Aura Tour 2018,https://www.ticketmaster.com/ozuna-aura-tour-2018-inglewood-california-11-02-2018/event/090054D9120A8E66,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.9583,-118.341868,,,11/2/2018,20:00:00
19,KIIS FM's Jingle Ball Presented by Capital One,vv1ke8v48OGACib4i,https://www.ticketmaster.com/kiis-fms-jingle-ball-presented-by-inglewood-california-11-30-2018/event/090055420EB1856C,Rock,KnvZfZ7vAeA,,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_TABLET_LANDSCAPE_16_9.jpg,KIIS FM's Jingle Ball Presented by Capital One,https://www.ticketmaster.com/kiis-fms-jingle-ball-presented-by-inglewood-california-11-30-2018/event/090055420EB1856C,90305,"{'name': 'California', 'stateCode': 'CA'}",{'name': 'Inglewood'},33.9583,-118.341868,,,11/30/2018,19:30:00
0,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,vvG1HZ4aBNptlS,https://www.ticketmaster.com/pnk-beautiful-trauma-world-tour-portland-oregon-04-08-2019/event/0F00549EA35A9AF3,Rock,KnvZfZ7vAeA,Alternative Rock,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_RETINA_PORTRAIT_3_2.jpg,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,https://www.ticketmaster.com/pnk-beautiful-trauma-world-tour-portland-oregon-04-08-2019/event/0F00549EA35A9AF3,97227,"{'name': 'Oregon', 'stateCode': 'OR'}",{'name': 'Portland'},45.53118896,-122.6664581,207.45,59.95,4/8/2019,19:30:00
1,Justin Timberlake - The Man Of The Woods Tour,vvG1HZ4dDvWKc2,https://www.ticketmaster.com/justin-timberlake-the-man-of-the-portland-oregon-11-16-2018/event/0F00543EC1F53B4F,Rock,KnvZfZ7vAeA,Pop,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_CUSTOM.jpg,Justin Timberlake - The Man Of The Woods Tour,https://www.ticketmaster.com/justin-timberlake-the-man-of-the-portland-oregon-11-16-2018/event/0F00543EC1F53B4F,97227,"{'name': 'Oregon', 'stateCode': 'OR'}",{'name': 'Portland'},45.53118896,-122.6664581,225,49.5,11/16/2018,19:30:00
2,Elton John: Farewell Yellow Brick Road,vvG1HZfMmlBxZr,https://www.ticketmaster.com/elton-john-farewell-yellow-brick-road-portland-oregon-01-12-2019/event/0F00537BABEA201E,Rock,KnvZfZ7vAeA,Pop,https://s1.ticketm.net/dam/a/1dd/d5e86d93-5e1a-49d9-b530-70fefc0f21dd_877061_RETINA_PORTRAIT_16_9.jpg,Elton John: Farewell Yellow Brick Road,https://www.ticketmaster.com/elton-john-farewell-yellow-brick-road-portland-oregon-01-12-2019/event/0F00537BABEA201E,97227,"{'name': 'Oregon', 'stateCode': 'OR'}",{'name': 'Portland'},45.53118896,-122.6664581,222.5,47.5,1/12/2019,20:00:00
